country,year,control_total_patents
PH,1986,44.0
PH,1987,43.0
PH,1988,37.0
PH,1989,33.0
PH,1990,45.0
PH,1991,45.0
PH,1992,35.0
PH,1993,36.0
PH,1994,34.0
PH,1995,23.0
PH,1996,25.0
PH,1997,5.0
PH,1998,5.0
PH,1999,8.0
PH,2000,10.0
PH,2001,12.0
PH,2002,7.0
PH,2003,16.0
PH,2004,4.0
PH,2005,5.0
PH,2006,2.0
PH,2007,41.0
PH,2008,22.0
PH,2009,13.0
PH,2010,6.0
PH,2011,11.0
PH,2012,30.0
PH,2013,27.0
PH,2014,30.0
PH,2015,52.0
PH,2016,25.0
PH,2017,33.0
PH,2018,49.0
PH,2019,29.0
PH,2020,
DE,1985,20813.0
DE,1986,22210.0
DE,1987,20368.0
DE,1988,21839.0
DE,1989,18813.0
DE,1990,10851.0
DE,1991,11021.0
DE,1992,11098.0
DE,1993,11736.0
DE,1994,11436.0
DE,1995,12071.0
DE,1996,12153.0
DE,1997,12162.0
DE,1998,11775.0
DE,1999,11772.0
DE,2000,11483.0
DE,2001,11841.0
DE,2002,13707.0
DE,2003,12925.0
DE,2004,13084.0
DE,2005,15457.0
DE,2006,12977.0
DE,2007,12639.0
DE,2008,10284.0
DE,2009,9630.0
DE,2010,8208.0
DE,2011,8164.0
DE,2012,9792.0
DE,2013,10634.0
DE,2014,10411.0
DE,2015,10792.0
DE,2016,10564.0
DE,2017,10789.0
DE,2018,11770.0
DE,2019,11084.0
DE,2020,
SG,1985,
SG,1986,
SG,1987,
SG,1988,
SG,1989,
SG,1990,
SG,1991,
SG,1992,
SG,1993,
SG,1994,20.0
SG,1995,31.0
SG,1996,20.0
SG,1997,30.0
SG,1998,48.0
SG,1999,110.0
SG,2000,170.0
SG,2001,243.0
SG,2002,175.0
SG,2003,400.0
SG,2004,555.0
SG,2005,438.0
SG,2006,469.0
SG,2007,501.0
SG,2008,473.0
SG,2009,369.0
SG,2010,484.0
SG,2011,410.0
SG,2012,393.0
SG,2013,402.0
SG,2014,446.0
SG,2015,432.0
SG,2016,414.0
SG,2017,312.0
SG,2018,264.0
SG,2019,332.0
SG,2020,
CH,1985,2086.0
CH,1986,1774.0
CH,1987,2174.0
CH,1988,2081.0
CH,1989,1813.0
CH,1990,1568.0
CH,1991,1112.0
CH,1992,1241.0
CH,1993,1178.0
CH,1994,912.0
CH,1995,1035.0
CH,1996,709.0
CH,1997,383.0
CH,1998,404.0
CH,1999,556.0
CH,2000,789.0
CH,2001,580.0
CH,2002,
CH,2003,353.0
CH,2004,
CH,2005,522.0
CH,2006,428.0
CH,2007,510.0
CH,2008,592.0
CH,2009,461.0
CH,2010,243.0
CH,2011,288.0
CH,2012,360.0
CH,2013,436.0
CH,2014,409.0
CH,2015,416.0
CH,2016,541.0
CH,2017,420.0
CH,2018,436.0
CH,2019,547.0
CH,2020,
LT,1985,
LT,1986,
LT,1987,
LT,1988,
LT,1989,
LT,1990,
LT,1991,5.0
LT,1992,109.0
LT,1993,187.0
LT,1994,84.0
LT,1995,153.0
LT,1996,110.0
LT,1997,101.0
LT,1998,93.0
LT,1999,84.0
LT,2000,74.0
LT,2001,51.0
LT,2002,66.0
LT,2003,61.0
LT,2004,74.0
LT,2005,59.0
LT,2006,44.0
LT,2007,59.0
LT,2008,59.0
LT,2009,71.0
LT,2010,85.0
LT,2011,83.0
LT,2012,79.0
LT,2013,97.0
LT,2014,96.0
LT,2015,86.0
LT,2016,93.0
LT,2017,68.0
LT,2018,77.0
LT,2019,76.0
LT,2020,
CY,1985,
CY,1986,
CY,1987,
CY,1988,
CY,1989,
CY,1990,
CY,1991,
CY,1992,
CY,1993,
CY,1994,
CY,1995,
CY,1996,
CY,1997,
CY,1998,
CY,1999,
CY,2000,
CY,2001,
CY,2002,1.0
CY,2003,
CY,2004,6.0
CY,2005,
CY,2006,
CY,2007,9.0
CY,2008,1.0
CY,2009,5.0
CY,2010,
CY,2011,
CY,2012,
CY,2013,
CY,2014,
CY,2015,
CY,2016,
CY,2017,
CY,2018,1.0
CY,2019,
CY,2020,
RU,1985,
RU,1986,
RU,1987,
RU,1988,
RU,1989,
RU,1990,
RU,1991,4766.0
RU,1992,8938.0
RU,1993,16054.0
RU,1994,20861.0
RU,1995,16489.0
RU,1996,25644.0
RU,1997,19215.0
RU,1998,15362.0
RU,1999,14444.0
RU,2000,13779.0
RU,2001,15140.0
RU,2002,20621.0
RU,2003,19123.0
RU,2004,19447.0
RU,2005,19138.0
RU,2006,18431.0
RU,2007,22260.0
RU,2008,26294.0
RU,2009,21627.0
RU,2010,20339.0
RU,2011,22481.0
RU,2012,21378.0
RU,2013,23065.0
RU,2014,22560.0
RU,2015,21020.0
RU,2016,21037.0
RU,2017,20526.0
RU,2018,20113.0
RU,2019,17181.0
RU,2020,
UA,1985,
UA,1986,
UA,1987,
UA,1988,
UA,1989,
UA,1990,
UA,1991,226.0
UA,1992,1875.0
UA,1993,3905.0
UA,1994,1139.0
UA,1995,4085.0
UA,1996,8709.0
UA,1997,4225.0
UA,1998,619.0
UA,1999,4921.0
UA,2000,10412.0
UA,2001,7825.0
UA,2002,9675.0
UA,2003,
UA,2004,2464.0
UA,2005,2505.0
UA,2006,
UA,2007,2399.0
UA,2008,2394.0
UA,2009,2034.0
UA,2010,1902.0
UA,2011,1557.0
UA,2012,1744.0
UA,2013,1701.0
UA,2014,1516.0
UA,2015,1277.0
UA,2016,1224.0
UA,2017,1203.0
UA,2018,1248.0
UA,2019,1086.0
UA,2020,
IT,1985,
IT,1986,
IT,1987,2646.0
IT,1988,
IT,1989,
IT,1990,
IT,1991,3251.0
IT,1992,3687.0
IT,1993,4785.0
IT,1994,
IT,1995,7554.0
IT,1996,
IT,1997,
IT,1998,5703.0
IT,1999,4108.0
IT,2000,
IT,2001,
IT,2002,
IT,2003,
IT,2004,
IT,2005,
IT,2006,5257.0
IT,2007,6310.0
IT,2008,16319.0
IT,2009,14454.0
IT,2010,5680.0
IT,2011,4845.0
IT,2012,7017.0
IT,2013,6863.0
IT,2014,6331.0
IT,2015,5682.0
IT,2016,4536.0
IT,2017,6340.0
IT,2018,8275.0
IT,2019,8247.0
IT,2020,
AU,1985,
AU,1986,
AU,1987,
AU,1988,
AU,1989,
AU,1990,
AU,1991,
AU,1992,
AU,1993,
AU,1994,869.0
AU,1995,826.0
AU,1996,804.0
AU,1997,1170.0
AU,1998,1003.0
AU,1999,1034.0
AU,2000,1070.0
AU,2001,980.0
AU,2002,1021.0
AU,2003,1177.0
AU,2004,1163.0
AU,2005,924.0
AU,2006,1086.0
AU,2007,925.0
AU,2008,926.0
AU,2009,1178.0
AU,2010,1267.0
AU,2011,1311.0
AU,2012,1110.0
AU,2013,1199.0
AU,2014,1614.0
AU,2015,1433.0
AU,2016,1188.0
AU,2017,905.0
AU,2018,829.0
AU,2019,940.0
AU,2020,
NZ,1985,255.0
NZ,1986,261.0
NZ,1987,240.0
NZ,1988,227.0
NZ,1989,206.0
NZ,1990,140.0
NZ,1991,154.0
NZ,1992,166.0
NZ,1993,165.0
NZ,1994,198.0
NZ,1995,239.0
NZ,1996,368.0
NZ,1997,382.0
NZ,1998,321.0
NZ,1999,547.0
NZ,2000,258.0
NZ,2001,391.0
NZ,2002,1018.0
NZ,2003,419.0
NZ,2004,391.0
NZ,2005,416.0
NZ,2006,491.0
NZ,2007,430.0
NZ,2008,457.0
NZ,2009,394.0
NZ,2010,326.0
NZ,2011,340.0
NZ,2012,298.0
NZ,2013,389.0
NZ,2014,344.0
NZ,2015,304.0
NZ,2016,177.0
NZ,2017,82.0
NZ,2018,94.0
NZ,2019,71.0
NZ,2020,
BE,1985,721.0
BE,1986,205.0
BE,1987,135.0
BE,1988,547.0
BE,1989,210.0
BE,1990,385.0
BE,1991,644.0
BE,1992,555.0
BE,1993,539.0
BE,1994,632.0
BE,1995,739.0
BE,1996,644.0
BE,1997,444.0
BE,1998,783.0
BE,1999,533.0
BE,2000,577.0
BE,2001,362.0
BE,2002,401.0
BE,2003,
BE,2004,533.0
BE,2005,423.0
BE,2006,405.0
BE,2007,395.0
BE,2008,269.0
BE,2009,424.0
BE,2010,424.0
BE,2011,620.0
BE,2012,620.0
BE,2013,327.0
BE,2014,474.0
BE,2015,1368.0
BE,2016,859.0
BE,2017,867.0
BE,2018,813.0
BE,2019,777.0
BE,2020,
QA,1985,
QA,1986,
QA,1987,
QA,1988,
QA,1989,
QA,1990,
QA,1991,
QA,1992,
QA,1993,
QA,1994,
QA,1995,
QA,1996,
QA,1997,
QA,1998,
QA,1999,
QA,2000,
QA,2001,
QA,2002,
QA,2003,
QA,2004,
QA,2005,
QA,2006,
QA,2007,
QA,2008,
QA,2009,
QA,2010,
QA,2011,
QA,2012,
QA,2013,
QA,2014,
QA,2015,
QA,2016,2.0
QA,2017,
QA,2018,1.0
QA,2019,2.0
QA,2020,
MY,1985,
MY,1986,
MY,1987,
MY,1988,11.0
MY,1989,20.0
MY,1990,29.0
MY,1991,10.0
