year,country,count,granted_count,granted_family_ge_2_count
1999,EG,11,8,5
1999,ES,7837,6339,2621
1999,FI,10401,6489,5736
1999,FR,47386,33402,29187
1999,GB,31801,18015,16232
1999,GR,259,130,125
1999,HU,1445,645,346
1999,IE,1494,621,544
1999,IL,4181,2352,2081
1999,IN,732,450,367
1999,IT,25042,17665,11827
1999,JP,103838,80976,76327
1999,KR,66537,43004,12069
1999,MA,123,123,6
1999,MX,303,146,115
1999,MY,154,124,49
1999,NL,17611,11566,10117
1999,NO,3752,1995,1783
1999,NZ,786,424,381
1999,PA,70,42,39
1999,PH,21,12,9
1999,PL,3477,1322,121
1999,RU,1679,1012,538
1999,SE,19818,11732,10947
1999,SG,866,579,490
1999,SI,440,337,193
1999,TH,53,45,32
1999,UA,480,414,63
1999,US,260628,179204,132565
1999,ZA,1210,626,540
2000,AR,1186,497,204
2000,AU,6845,3962,3700
2000,BE,5854,3224,3013
2000,BG,358,201,32
2000,BR,6609,1004,517
2000,CA,16269,9401,6927
2000,CH,20625,12201,11238
2000,CN,77895,64320,1512
2000,DE,160146,86273,64953
2000,DK,5763,3284,3038
2000,EG,16,10,6
2000,ES,8151,6438,2717
2000,FI,11991,7007,6251
2000,FR,50480,34656,30368
2000,GB,32526,17651,15989
2000,GR,197,79,74
2000,HU,1807,862,546
2000,IE,1708,732,680
2000,IL,4748,2593,2210
2000,IN,1149,675,538
2000,IT,26610,17721,12473
2000,JP,117725,89671,84164
2000,KR,99279,61613,15155
2000,MA,110,104,9
2000,MX,487,230,150
2000,MY,213,174,87
2000,NL,20147,12883,11286
2000,NO,3791,1930,1718
2000,NZ,1026,558,498
2000,PA,53,34,30
2000,PH,26,18,10
2000,PL,3657,1361,130
2000,RU,2057,1357,559
2000,SE,20888,11718,10793
2000,SG,1132,709,588
2000,SI,522,400,208
2000,TH,151,103,64
2000,UA,816,687,131
2000,US,291138,193570,139123
2000,ZA,1009,439,388
2001,AR,1086,444,190
2001,AU,7128,4023,3342
2001,BE,6041,3243,3013
2001,BG,399,215,26
2001,BR,6781,767,474
2001,CA,18062,9442,7247
2001,CH,22543,13151,12197
2001,CN,92493,76790,2125
2001,DE,162240,84749,64093
2001,DK,6673,3595,3321
2001,EG,14,11,7
2001,ES,8584,6570,2975
2001,FI,12543,7086,6283
2001,FR,49338,31730,27736
2001,GB,34562,18182,16403
2001,GR,284,138,133
2001,HU,1736,639,331
2001,IE,1777,753,677
2001,IL,6437,3068,2663
2001,IN,1726,940,722
2001,IT,27679,10770,10325
2001,JP,139350,97877,92053
2001,KR,86555,49891,15427
2001,MA,129,117,17
2001,MX,789,294,160
2001,MY,361,278,128
2001,NL,22657,13672,12009
2001,NO,3958,2083,1871
2001,NZ,1185,644,590
2001,PA,61,33,21
2001,PH,46,18,10
2001,PL,3189,1261,154
2001,RU,3922,3067,573
2001,SE,20103,10658,9729
2001,SG,1314,764,654
2001,SI,422,322,131
2001,TH,83,60,28
2001,UA,1328,1232,166
2001,US,336099,195693,142085
2001,ZA,1230,577,534
2002,AR,384,161,80
2002,AU,7828,4182,3253
2002,BE,5975,3064,2817
2002,BG,472,238,57
2002,BR,6911,815,480
2002,CA,18660,9779,7730
2002,CH,23077,12845,11877
2002,CN,115366,96444,3463
2002,DE,156769,81199,61898
2002,DK,6377,3291,3016
2002,EG,24,10,5
2002,ES,8800,6636,3097
2002,FI,12077,6549,5685
2002,FR,48779,30558,26344
2002,GB,32867,16585,14905
2002,GR,319,120,116
2002,HU,2038,758,440
2002,IE,2038,834,747
2002,IL,6015,2729,2306
2002,IN,2695,1383,1144
2002,IT,24731,10564,10128
2002,JP,139993,94436,89047
2002,KR,51427,30238,15164
2002,MA,145,127,18
2002,MX,793,301,148
2002,MY,396,303,132
2002,NL,23428,12739,11164
2002,NO,3934,2033,1802
2002,NZ,1173,552,469
2002,PA,59,25,23
2002,PH,43,14,10
2002,PL,3196,1232,188
2002,RU,12087,11243,635
2002,SE,18678,9495,8650
2002,SG,1530,882,759
